Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2018,2018,2018,2,0,1,Import,434,Libya,LBY,512,Oman,OMN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,1271373,,,0
H2,2018,2018,2018,2,0,1,Import,434,Libya,LBY,528,Netherlands,NLD,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,139451916,,,0
H2,2018,2018,2018,2,0,1,Import,434,Libya,LBY,616,Poland,POL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,378884,,,0
H2,2018,2018,2018,2,0,1,Import,434,Libya,LBY,642,Romania,ROU,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,36250,,,0
H2,2018,2018,2018,2,0,1,Import,434,Libya,LBY,643,Russian Federation,RUS,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,7746936,,,0
H2,2018,2018,2018,2,0,1,Import,434,Libya,LBY,688,Serbia,SRB,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,493316,,,0
H2,2018,2018,2018,2,0,1,Import,434,Libya,LBY,699,India,IND,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,270674,,,0
H2,2018,2018,2018,2,0,1,Import,434,Libya,LBY,702,Singapore,SGP,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,123876,,,0
H2,2018,2018,2018,2,0,1,Import,434,Libya,LBY,705,Slovenia,SVN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,38355,,,0
H2,2018,2018,2018,2,0,1,Import,434,Libya,LBY,710,South Africa,ZAF,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,21798,,,0
H2,2018,2018,2018,2,0,1,Import,434,Libya,LBY,724,Spain,ESP,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,227820716,,,0
